年,月,日,日期,分局,所,經度,緯度,種類
110,12,14,20211214,中壢分局,龍興所,121.2589108,24.9349264,汽車竊盜
110,12,1,20211201,中壢分局,文化所,121.2491243,24.9577296,汽車竊盜
110,11,9,20211109,中壢分局,普仁所,121.2362796,24.9632683,汽車竊盜
110,11,7,20211107,中壢分局,普仁所,121.2313882,24.9562725,汽車竊盜
110,10,31,20211031,中壢分局,興國所,121.2180987,24.9750027,汽車竊盜
110,10,25,20211025,中壢分局,興國所,121.2159265,24.9680275,汽車竊盜
110,10,24,20211024,中壢分局,普仁所,121.231741,24.9506491,汽車竊盜
110,9,23,20210923,中壢分局,文化所,121.2493104,24.97489,汽車竊盜
110,9,19,20210919,中壢分局,仁愛所,121.2545866,24.9384163,汽車竊盜
110,6,27,20210627,中壢分局,內壢所,121.2566954,24.9791421,汽車竊盜
110,6,10,20210610,中壢分局,文化所,121.251227,24.9896491,汽車竊盜
110,6,10,20210610,中壢分局,普仁所,121.2355784,24.9576663,汽車竊盜
110,4,10,20210410,中壢分局,龍興所,121.2266744,24.9423499,汽車竊盜
110,4,7,20210407,中壢分局,仁愛所,121.2552398,24.9461948,汽車竊盜
110,3,27,20210327,中壢分局,龍興所,121.2492965,24.9345189,汽車竊盜
110,3,4,20210304,中壢分局,內壢所,121.2537025,24.977815,汽車竊盜
110,3,1,20210301,中壢分局,自強所,121.2637941,24.9664232,汽車竊盜
110,2,14,20210214,中壢分局,青埔所,121.2117069,25.0056165,汽車竊盜
110,1,28,20210128,中壢分局,文化所,121.2394835,24.9626114,汽車竊盜
110,1,28,20210128,中壢分局,興國所,121.1966881,24.9567746,汽車竊盜
110,1,22,20210122,中壢分局,龍興所,121.2576705,24.9315718,汽車竊盜
110,1,10,20210110,中壢分局,興國所,121.1995026,24.9615297,汽車竊盜
110,1,2,20210102,中壢分局,文化所,121.2423236,24.9662428,汽車竊盜
109,12,29,20201229,中壢分局,內壢所,121.2565002,24.9831647,汽車竊盜
109,11,4,20201104,中壢分局,青埔所,121.2119009,25.01946,汽車竊盜
109,10,13,20201013,中壢分局,青埔所,121.214342,25.0156111,汽車竊盜
109,10,9,20201009,中壢分局,普仁所,121.2433412,24.9506402,汽車竊盜
109,9,19,20200919,中壢分局,仁愛所,121.2591674,24.9387176,汽車竊盜
109,9,11,20200911,中壢分局,興國所,121.21162,24.962112,汽車竊盜
109,7,15,20200715,中壢分局,龍興所,121.2492638,24.9329885,汽車竊盜
109,6,29,20200629,中壢分局,龍興所,121.2349872,24.9282429,汽車竊盜
109,6,28,20200628,中壢分局,興國所,121.2102281,24.958227,汽車竊盜
109,6,10,20200610,中壢分局,仁愛所,121.260826,24.9471992,汽車竊盜
109,6,2,20200602,中壢分局,龍興所,121.244869,24.9291019,汽車竊盜
109,5,26,20200526,中壢分局,普仁所,121.2327477,24.9605981,汽車竊盜
109,5,25,20200525,中壢分局,文化所,121.2476073,24.9835274,汽車竊盜
109,5,4,20200504,中壢分局,興國所,121.2138663,24.9769122,汽車竊盜
109,4,18,20200418,中壢分局,青埔所,121.2035434,24.995757,汽車竊盜
109,4,14,20200414,中壢分局,仁愛所,121.2640873,24.9485909,汽車竊盜
109,4,3,20200403,中壢分局,普仁所,121.2329559,24.9513328,汽車竊盜
109,2,29,20200229,中壢分局,文化所,121.2504887,24.9846377,汽車竊盜
109,2,17,20200217,中壢分局,青埔所,121.2223211,25.0221978,汽車竊盜
109,2,14,20200214,中壢分局,青埔所,121.2228798,24.9772711,汽車竊盜
109,2,13,20200213,中壢分局,龍興所,121.2373521,24.9336049,汽車竊盜
109,2,13,20200213,中壢分局,仁愛所,121.2589254,24.9454956,汽車竊盜
109,2,11,20200211,中壢分局,中福所,121.2279624,24.9918166,汽車竊盜
109,1,5,20200105,中壢分局,大崙所,121.1800336,24.996197,汽車竊盜
108,12,14,20191214,中壢分局,大崙所,121.1945113,25.0072755,汽車竊盜
108,12,14,20191214,中壢分局,中福所,121.235425,24.971277,汽車竊盜
108,12,12,20191212,中壢分局,興國所,121.2050813,24.9623225,汽車竊盜
108,12,11,20191211,中壢分局,大崙所,121.1918626,24.9725685,汽車竊盜
108,12,3,20191203,中壢分局,普仁所,121.2454537,24.9451287,汽車竊盜
108,12,2,20191202,中壢分局,普仁所,121.2366244,24.9492953,汽車竊盜
108,11,17,20191117,中壢分局,大崙所,121.1758274,24.9852577,汽車竊盜
108,11,16,20191116,中壢分局,龍興所,121.2376222,24.9323476,汽車竊盜
108,11,8,20191108,中壢分局,青埔所,121.1949386,25.0034139,汽車竊盜
108,10,29,20191029,中壢分局,龍興所,121.2307574,24.9368749,汽車竊盜
108,10,25,20191025,中壢分局,龍興所,121.2472481,24.9359659,汽車竊盜
108,10,20,20191020,中壢分局,龍興所,121.228384,24.8979506,汽車竊盜
108,10,15,20191015,中壢分局,青埔所,121.22272,25.0205064,汽車竊盜
108,10,13,20191013,中壢分局,興國所,121.2099619,24.9787666,汽車竊盜
108,10,12,20191012,中壢分局,文化所,121.2497407,24.9890241,汽車竊盜
108,10,9,20191009,中壢分局,龍興所,121.2326144,24.9365704,汽車竊盜
108,10,6,20191006,中壢分局,青埔所,121.2112279,25.0149313,汽車竊盜
108,10,6,20191006,中壢分局,內壢所,121.2613377,24.9743994,汽車竊盜
108,9,10,20190910,中壢分局,普仁所,121.2346087,24.9566412,汽車竊盜
108,8,18,20190818,中壢分局,仁愛所,121.2567009,24.9478998,汽車竊盜
108,7,26,20190726,中壢分局,普仁所,121.2321483,24.9547195,汽車竊盜
108,7,21,20190721,中壢分局,文化所,121.2501608,24.9787093,汽車竊盜
108,7,17,20190717,中壢分局,文化所,121.245677,24.9980229,汽車竊盜
108,7,14,20190714,中壢分局,青埔所,121.2164585,25.0233522,汽車竊盜
108,7,4,20190704,中壢分局,文化所,121.2510513,24.9883325,汽車竊盜
108,6,29,20190629,中壢分局,大崙所,121.1524282,24.9646852,汽車竊盜
108,6,22,20190622,中壢分局,龍興所,121.2253887,24.9397963,汽車竊盜
108,6,19,20190619,中壢分局,普仁所,121.235016,24.955682,汽車竊盜
108,6,15,20190615,中壢分局,普仁所,121.2387856,24.9535505,汽車竊盜
108,6,14,20190614,中壢分局,青埔所,121.2018857,25.0107565,汽車竊盜
108,5,25,20190525,中壢分局,仁愛所,121.2616751,24.9470928,汽車竊盜
108,5,18,20190518,中壢分局,普仁所,121.2477377,24.9574406,汽車竊盜
108,5,18,20190518,中壢分局,自強所,121.2624723,24.9660693,汽車竊盜
108,5,17,20190517,中壢分局,大崙所,121.1646352,24.9604638,汽車竊盜
108,5,17,20190517,中壢分局,興國所,121.202048,24.9706639,汽車竊盜
108,5,14,20190514,中壢分局,仁愛所,121.2589254,24.9454956,汽車竊盜
108,5,13,20190513,中壢分局,龍興所,121.245033,24.9368662,汽車竊盜
108,4,12,20190412,中壢分局,興國所,121.2182739,24.9637259,汽車竊盜
108,4,1,20190401,中壢分局,內壢所,121.2547629,24.9776519,汽車竊盜
108,3,29,20190329,中壢分局,龍興所,121.2560615,24.9345432,汽車竊盜
108,3,29,20190329,中壢分局,興國所,121.2208037,24.9662358,汽車竊盜
108,2,9,20190209,中壢分局,自強所,121.2570019,24.9608307,汽車竊盜
108,1,26,20190126,中壢分局,普仁所,121.2365516,24.9542602,汽車竊盜
108,1,26,20190126,中壢分局,普仁所,121.2362796,24.9632683,汽車竊盜
108,1,18,20190118,中壢分局,文化所,121.2469444,24.9933844,汽車竊盜
108,1,16,20190116,中壢分局,普仁所,121.2431673,24.9543092,汽車竊盜
108,1,11,20190111,中壢分局,龍興所,121.2495431,24.9365998,汽車竊盜
108,1,8,20190108,中壢分局,中壢所,121.2277539,24.9599448,汽車竊盜
108,1,7,20190107,中壢分局,內壢所,121.2527493,24.9775401,汽車竊盜
108,1,5,20190105,中壢分局,普仁所,121.2432571,24.953928,汽車竊盜
108,1,3,20190103,中壢分局,中福所,121.2037174,24.9579574,汽車竊盜
108,1,3,20190103,中壢分局,普仁所,121.2342803,24.9483147,汽車竊盜
108,1,3,20190103,中壢分局,普仁所,121.2445034,24.9485183,汽車竊盜
107,12,31,20181231,中壢分局,龍興所,121.231417,24.9392169,汽車竊盜
107,12,30,20181230,中壢分局,龍興所,121.2486788,24.9348369,汽車竊盜
107,12,27,20181227,中壢分局,龍興所,121.249995,24.928633,汽車竊盜
107,12,24,20181224,中壢分局,龍興所,121.249045,24.929599,汽車竊盜
107,12,23,20181223,中壢分局,興國所,121.2095888,24.9611509,汽車竊盜
107,12,12,20181212,中壢分局,自強所,121.2560996,24.9630477,汽車竊盜
107,12,11,20181211,中壢分局,中福所,121.2344724,24.9751908,汽車竊盜
107,12,10,20181210,中壢分局,青埔所,121.2157137,25.009305,汽車竊盜
107,12,7,20181207,中壢分局,仁愛所,121.2573595,24.9538634,汽車竊盜
107,12,6,20181206,中壢分局,普仁所,121.2470211,24.9574219,汽車竊盜
107,12,1,20181201,中壢分局,龍興所,121.2530282,24.9353429,汽車竊盜
107,12,1,20181201,中壢分局,內壢所,121.2527259,24.9758205,汽車竊盜
107,11,30,20181130,中壢分局,大崙所,121.1646727,24.9604822,汽車竊盜
107,11,28,20181128,中壢分局,中福所,121.2345665,24.9777316,汽車竊盜
107,11,23,20181123,中壢分局,龍興所,121.2518627,24.9327069,汽車竊盜
107,11,19,20181119,中壢分局,興國所,121.2136076,24.9652653,汽車竊盜
107,11,16,20181116,中壢分局,龍興所,121.2571879,24.9316393,汽車竊盜
107,11,16,20181116,中壢分局,龍興所,121.2530282,24.9353429,汽車竊盜
107,11,12,20181112,中壢分局,仁愛所,121.2646877,24.9563685,汽車竊盜
107,11,9,20181109,中壢分局,仁愛所,121.2599847,24.9467614,汽車竊盜
107,11,5,20181105,中壢分局,龍興所,121.248663,24.933086,汽車竊盜
107,11,3,20181103,中壢分局,興國所,121.2055421,24.961988,汽車竊盜
107,11,1,20181101,中壢分局,自強所,121.2572773,24.9708544,汽車竊盜
107,10,30,20181030,中壢分局,中福所,121.2396582,24.9762532,汽車竊盜
107,10,26,20181026,中壢分局,普仁所,121.2300427,24.9618351,汽車竊盜
107,10,7,20181007,中壢分局,龍興所,121.2470519,24.9385222,汽車竊盜
107,10,7,20181007,中壢分局,仁愛所,121.2552398,24.9461948,汽車竊盜
107,9,29,20180929,中壢分局,中福所,121.2229339,24.981113,汽車竊盜
107,9,19,20180919,中壢分局,龍興所,121.2378925,24.9320756,汽車竊盜
107,9,17,20180917,中壢分局,普仁所,121.2439114,24.953851,汽車竊盜
107,9,16,20180916,中壢分局,中福所,121.2338179,24.977624,汽車竊盜
107,9,13,20180913,中壢分局,青埔所,121.215217,25.0130935,汽車竊盜
107,9,12,20180912,中壢分局,普仁所,121.2362803,24.9496951,汽車竊盜
107,9,5,20180905,中壢分局,龍興所,121.229282,24.9439779,汽車竊盜
107,8,26,20180826,中壢分局,龍興所,121.2319577,24.9381155,汽車竊盜
107,8,24,20180824,中壢分局,龍興所,121.1992573,24.9614753,汽車竊盜
107,8,5,20180805,中壢分局,仁愛所,121.2370176,24.9493603,汽車竊盜
107,7,31,20180731,中壢分局,大園所,121.2578451,24.9435744,汽車竊盜
107,6,30,20180630,中壢分局,圳頂所,121.2207119,25.0067508,汽車竊盜
107,6,18,20180618,中壢分局,普仁所,121.2506491,24.9561528,汽車竊盜
107,6,14,20180614,中壢分局,景福所,121.253246,24.9312287,汽車竊盜
107,6,12,20180612,中壢分局,景福所,121.2185211,25.0131445,汽車竊盜
107,5,17,20180517,中壢分局,興國所,121.2667493,24.9507511,汽車竊盜
107,5,10,20180510,中壢分局,埔心所,121.224309,24.9433814,汽車竊盜
107,5,2,20180502,中壢分局,景福所,121.237603,24.9323781,汽車竊盜
107,4,7,20180407,中壢分局,仁愛所,121.2555759,24.9569642,汽車竊盜
107,3,27,20180327,中壢分局,興國所,121.2143663,24.9694341,汽車竊盜
107,3,16,20180316,中壢分局,中福所,121.2168753,24.9701903,汽車竊盜
107,3,7,20180307,中壢分局,普仁所,121.2443999,24.9438102,汽車竊盜
107,3,5,20180305,中壢分局,自強所,121.2591156,24.9703744,汽車竊盜
107,3,4,20180304,中壢分局,仁愛所,121.261618,24.9468559,汽車竊盜
107,2,28,20180228,中壢分局,興國所,121.2058869,24.9588426,汽車竊盜
107,2,27,20180227,中壢分局,普仁所,121.2379194,24.9550611,汽車竊盜
107,2,23,20180223,中壢分局,中福所,121.2291921,25.0031062,汽車竊盜
107,2,13,20180213,中壢分局,自強所,121.2631787,24.9690519,汽車竊盜
107,2,12,20180212,中壢分局,大崙所,121.1847861,24.996004,汽車竊盜
107,2,5,20180205,中壢分局,龍興所,121.2278533,24.9434332,汽車竊盜
107,1,28,20180128,中壢分局,中福所,121.234128,24.9742329,汽車竊盜
107,1,27,20180127,中壢分局,興國所,121.2158363,24.953352,汽車竊盜
107,1,26,20180126,中壢分局,大崙所,121.184435,25.010713,汽車竊盜
107,1,23,20180123,中壢分局,仁愛所,121.2658193,24.9525568,汽車竊盜
107,1,21,20180121,中壢分局,普仁所,121.2401061,24.9520845,汽車竊盜
107,1,20,20180120,中壢分局,龍興所,121.249457,24.9348582,汽車竊盜
107,1,20,20180120,中壢分局,興國所,121.2016104,24.9605142,汽車竊盜
107,1,18,20180118,中壢分局,大崙所,121.1718744,24.9585721,汽車竊盜
107,1,14,20180114,中壢分局,仁愛所,121.261598,24.9383822,汽車竊盜
107,1,12,20180112,中壢分局,仁愛所,121.2579275,24.9434404,汽車竊盜
107,1,10,20180110,中壢分局,仁愛所,121.250534,24.94455,汽車竊盜
107,1,8,20180108,中壢分局,龍興所,121.2421979,24.9269935,汽車竊盜
107,1,2,20180102,中壢分局,仁愛所,121.255728,24.9560415,汽車竊盜
106,12,31,20171231,中壢分局,興國所,121.2081292,24.9633904,汽車竊盜
106,12,31,20171231,中壢分局,大崙所,121.1819703,24.9850649,汽車竊盜
106,12,31,20171231,中壢分局,大崙所,121.1755967,24.9909475,汽車竊盜
106,12,30,20171230,中壢分局,自強所,121.2559638,24.9687652,汽車竊盜
106,12,28,20171228,中壢分局,龍興所,121.2389132,24.9360195,汽車竊盜
106,12,28,20171228,中壢分局,內壢所,121.2590915,24.9756533,汽車竊盜
106,12,27,20171227,中壢分局,興國所,121.2125862,24.9754422,汽車竊盜
106,12,26,20171226,中壢分局,普仁所,121.2292415,24.9458795,汽車竊盜
106,12,17,20171217,中壢分局,普仁所,121.247631,24.9438941,汽車竊盜
106,12,16,20171216,中壢分局,中福所,121.2323797,24.9906068,汽車竊盜
106,12,15,20171215,中壢分局,龍興所,121.2532056,24.9360258,汽車竊盜
106,12,10,20171210,中壢分局,普仁所,121.2369008,24.9585021,汽車竊盜
106,12,5,20171205,中壢分局,龍興所,121.2532056,24.9360258,汽車竊盜
106,12,4,20171204,中壢分局,大崙所,121.1728402,25.0218341,汽車竊盜
106,11,29,20171129,中壢分局,普仁所,121.2300939,24.9503764,汽車竊盜
106,11,27,20171127,中壢分局,仁愛所,121.261618,24.9468559,汽車竊盜
106,11,25,20171125,中壢分局,仁愛所,121.2525812,24.9456542,汽車竊盜
106,11,24,20171124,中壢分局,龍興所,121.2257144,24.9414002,汽車竊盜
106,11,23,20171123,中壢分局,龍興所,121.2452065,24.9293848,汽車竊盜
106,11,22,20171122,中壢分局,中福所,121.2199796,24.9953061,汽車竊盜
106,11,19,20171119,中壢分局,龍興所,121.249457,24.9348582,汽車竊盜
106,11,17,20171117,中壢分局,普仁所,121.2365733,24.953386,汽車竊盜
106,11,17,20171117,中壢分局,普仁所,121.2362604,24.963155,汽車竊盜
106,11,17,20171117,中壢分局,大崙所,121.1935346,24.9845283,汽車竊盜
106,11,15,20171115,中壢分局,龍興所,121.2342029,24.9338389,汽車竊盜
106,11,15,20171115,中壢分局,仁愛所,121.2525812,24.9456542,汽車竊盜
106,11,14,20171114,中壢分局,龍興所,121.249371,24.928013,汽車竊盜
106,11,11,20171111,中壢分局,興國所,121.2159313,24.9572023,汽車竊盜
106,11,4,20171104,中壢分局,仁愛所,121.2568546,24.946726,汽車竊盜
106,11,1,20171101,中壢分局,文化所,121.2586426,24.9877592,汽車竊盜
106,10,31,20171031,中壢分局,龍興所,121.250358,24.9293519,汽車竊盜
106,10,31,20171031,中壢分局,文化所,121.2534201,24.9792666,汽車竊盜
106,10,25,20171025,中壢分局,興國所,121.2203507,24.9649997,汽車竊盜
106,10,24,20171024,中壢分局,龍興所,121.2314467,24.933595,汽車竊盜
106,10,21,20171021,中壢分局,文化所,121.2530189,24.971551,汽車竊盜
106,10,21,20171021,中壢分局,文化所,121.2471652,24.9784473,汽車竊盜
106,10,11,20171011,中壢分局,龍興所,121.2582462,24.9317846,汽車竊盜
106,10,8,20171008,中壢分局,龍興所,121.225354,24.9473518,汽車竊盜
106,9,25,20170925,中壢分局,普仁所,121.2366244,24.9492953,汽車竊盜
106,9,21,20170921,中壢分局,普仁所,121.2329132,24.9512846,汽車竊盜
106,9,21,20170921,中壢分局,普仁所,121.2343605,24.9639016,汽車竊盜
106,9,17,20170917,中壢分局,龍興所,121.2309209,24.9405686,汽車竊盜
106,9,17,20170917,中壢分局,龍興所,121.2492442,24.9280318,汽車竊盜
